2013 januari,576
2013 februari,567
2013 maart,784
2013 april,920
2013 mei,1014
2013 juni,922
2013 juli,988
2013 augustus,1040
2013 september,912
2013 oktober,892
2013 november,775
2013 december,627
2014 januari,631
2014 februari,670
2014 maart,839
2014 april,1052
2014 mei,1078
2014 juni,1020
2014 juli,1086
2014 augustus,1145
2014 september,997
2014 oktober,960
2014 november,817
2014 december,684
2015 januari,662
2015 februari,722
2015 maart,861
2015 april,1126
2015 mei,1130
2015 juni,1078
2015 juli,1216
2015 augustus,1225
2015 september,1071
2015 oktober,1034
2015 november,886
2015 december,754
