Country,Energy
ABW,
AND,
AFG,
AGO,654.905480599323
ALB,800.371440819006
ARB,1811.05445071507
ARE,7691.01373919273
ARG,1894.6178719302
ARM,969.309790280838
ASM,
ATG,
AUS,5586.33797736272
AUT,3917.84748286283
AZE,1474.00343280059
BDI,
BEL,5038.98427381938
BEN,393.38381466334
BFA,
BGD,215.516719499688
BGR,2327.43652371642
BHR,10171.6810172021
 The,
BIH,1687.96869282938
BLR,2881.50644411578
BLZ,
BMU,
BOL,785.517038526506
BRA,1437.79598916529
BRB,
BRN,7392.86851243867
BTN,
BWA,1098.3588405291
CAF,
CAN,7202.22731015708
CEB,2506.95695765477
CHE,3304.03286001118
CHI,
CHL,2201.17561426534
CHN,2226.26987063313
CIV,605.286116446348
CMR,330.712939608844
 Rep.,552.250157949208
COL,668.504125998104
COM,
CPV,
CRI,1029.00349372869
CSS,
CUB,1030.88069048154
CUW,11800.9777535073
CYM,
CYP,1691.10289300067
CZE,3989.92331566085
DEU,3867.62236010767
DJI,
DMA,
DNK,3107.14359497141
DOM,731.313162555168
DZA,1245.99219062102
EAP,1812.89601864113
EAS,2073.4547934183
ECA,1984.52053999524
ECS,3216.48651397085
ECU,979.754761286922
 Arab Rep.,913.131547459073
EMU,3393.54489280103
ERI,163.873943151429
ESP,2503.79419410685
EST,4623.27911216793
ETH,506.975299723322
EUU,3200.03575009187
FCS,570.834180539079
FIN,6074.74978727598
FJI,
FRA,3842.57117026253
FRO,
 Fed. Sts.,
GAB,1434.91354263426
GBR,2977.66680774859
GEO,1032.14618644068
GHA,343.612771720021
GIN,
 The,
GNB,
GNQ,
GRC,2134.10439616711
GRD,
GRL,
GTM,767.647435027662
GUM,
GUY,
HIC,4656.49083528884
 China,1993.61054426523
HND,662.435586227597
HPC,422.702960146564
HRV,1813.93118717087
HTI,393.159150931974
HUN,2280.38512164359
IDN,850.248918808994
IMN,
IND,606.053815878544
INX,
IRL,2840.19682082094
 Islamic Rep.,2883.36671723109
IRQ,1480.76060232581
ISL,18177.2525666844
ISR,2970.78789006762
ITA,2579.47667650807
JAM,1083.62419138392
JOR,1196.19241486068
JPN,3570.4368119394
KAZ,4786.67030617351
KEN,491.745348630135
KGZ,690.401251835793
KHM,396.17373378526
KIR,
KNA,
 Rep.,5269.03054470702
KSV,1296.69597721159
KWT,9757.44868295504
LAC,1211.74722970633
LAO,
LBN,1573.31869272481
LBR,
LBY,2711.30039050512
LCA,
LCN,1372.66816580486
LDC,350.840532835074
LIC,
LIE,
LKA,487.520530638029
LMC,635.768046960878
LMY,1203.37179703986
LSO,
LTU,2356.64500222978
LUX,7310.30992343934
LVA,2159.23756128124
 China,
MAF,
MAR,564.389568000609
MCO,
MDA,862.658160618631
MDG,
MDV,
MEA,2190.25380809498
MEX,1545.77545264648
MHL,
MIC,1263.03511651683
 FYR,1431.80493604025
MLI,
MLT,1734.59636160936
MMR,312.756048642691
MNA,1405.59541265668
MNE,1651.29980827647
MNG,1826.45687180983
MNP,
MOZ,407.372413683664
MRT,
MUS,1094.72586964
MWI,
MYS,3019.81923051913
NAC,6943.09567018376
NAM,742.347199683626
NCL,
NER,152.471806124377
NGA,773.021169035596
NIC,593.668206953458
NLD,4605.42046288741
NOC,4566.50860319914
NOR,6438.75519895866
NPL,369.679145820146
NZL,4391.56007293848
OEC,4683.38401855557
OED,4190.6924493093
OMN,6232.46415583458
OSS,
PAK,474.860806436923
PAN,1057.48008964488
PER,708.330654656247
PHL,457.131965223186
PLW,
PNG,
POL,2565.40831177631
PRI,
 Dem. People’s Rep.,575.735523376015
PRT,2082.81022960527
PRY,764.137477498462
PSS,
PYF,
QAT,19120.3442840772
ROU,1592.13149441397
RUS,5093.06477929833
RWA,
SAS,549.540655767888
SAU,6363.39331369627
SDN,374.773682889786
SEN,261.00416980726
SGP,4833.44507906968
SLB,
SLE,
SLV,693.443491934832
SMR,
SOM,
SRB,2078.49017857292
SSA,670.82161246501
SSD,59.1200657248549
SSF,670.82161246501
SST,
STP,
SUR,
SVK,3178.32789897205
SVN,3323.24863722619
SWE,5131.53709869162
SWZ,
SXM,
SYC,
SYR,592.494107804179
TCA,
TCD,
TGO,462.572807469894
THA,1987.57590314404
TJK,302.730903534982
TKM,5011.61927051607
TLS,
TON,
TTO,14537.5704622322
TUN,956.47719652781
TUR,1552.92420089737
TUV,
TZA,469.733621407504
UGA,
UKR,2553.16744926313
UMC,2015.16139643279
URY,1350.51199115954
USA,6914.31218463439
UZB,1419.47776690297
VCT,
 RB,2447.28413433295
VIR,
VNM,667.646466390744
VUT,
PSE,
WLD,1894.43470089617
WSM,
 Rep.,240.413857094493
ZAF,2657.58514933643
 Dem. Rep.,292.387677198669
ZMB,631.459247966986
ZWE,757.537810882091
